Timestamp,Universitas/Instansi,Program Studi,Semester,Berapa rentang IPK terakhir Anda?,Berapa rata-rata durasi tidur Anda pada hari kuliah?,Pada jam berapa biasanya Anda tidur di hari kuliah?  ,Seberapa sering Anda merasa tidur Anda cukup untuk mendukung aktivitas akademik?  ,Apakah Anda memiliki kebiasaan begadang karena tugas atau kegiatan lainnya?  ,Apakah Anda memiliki gangguan tidur seperti insomnia atau sleep apnea yang mungkin mempengaruhi kualitas tidur Anda?  ,Seberapa sering anda merasa mengantuk saat mengikuti kegiatan perkuliahan?,"Seberapa besar Anda merasa kualitas tidur mempengaruhi konsentrasi atau daya ingat saat belajar? (Skala 1-5, 1 = Tidak berpengaruh, 5 = Sangat berpengaruh)","Seberapa puas Anda dengan kualitas tidur Anda dalam sepekan terakhir? (Skala 1-5, 1 = Sangat tidak puas, 5 = Sangat puas)"
29/05/2025 13:45:27,UIN Syarif Hidayatullah Jakarta,Komunikasi dan Penyiaran Islam,7-8,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,4,3
29/05/2025 13:48:30,Universitas Wahid Hasyim,Hubungan International,3-4,"3,00 - 3,49",<4 jam,Pukul 22.00 - 23.59,Jarang,Hampir setiap hari,Ya,Jarang,5,2
29/05/2025 13:52:57,Universitas Ahmad Dahlan,Ilmu Hadis,5-6,"3,50 - 4,00",4 - 5 jam,Pukul 22.00 - 23.59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,3,3
29/05/2025 13:59:06,Universitas Tujubelas Agustus,Ekonomi Pembangunan ,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Kadang-kadang,4,3
29/05/2025 14:00:51,Universitas Gajah Mada,Sastra Inggris,5-6,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak,Kadang-kadang,4,3
29/05/2025 14:03:06,Unpand ,Manajemen,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,Hampir setiap hari,Tidak,Jarang,4,4
29/05/2025 14:05:52, Universitas Nahdlatul Ulama,Teknik Informatika,5-6,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,Hampir setiap hari,Ya,Sering,4,5
29/05/2025 14:07:51,Universitas Padjajaran,Sasta Inggris,5-6,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak yakin,Jarang,4,5
29/05/2025 14:09:19,IAIN Kudus,Pendidikan Bahas Arab,7-8,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak,Sering,5,4
29/05/2025 14:10:42,Universitas Negri Jakarta,PKO,1-2,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Jarang,1-2 kali per minggu,Tidak,Kadang-kadang,5,5
29/05/2025 14:13:41,PKN STAN,Administrasi Perpajakan,5-6,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,Tidak pernah,Tidak,Tidak pernah,5,5
29/05/2025 14:14:12,UNY,Gizi,5-6,"3,00 - 3,49",4 - 5 jam,Setelah pukul 02:00,Jarang,3-4 kali per minggu,Tidak,Sering,4,5
29/05/2025 14:16:10,Politeknik,Statistika,7-8,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Jarang,5,5
29/05/2025 14:20:13,UNPAD,Ilmu Hubungan International,3-4,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Selalu,4,5
29/05/2025 14:28:37,IAIN SALATIGA,Hukum Ekonomi Syariah,3-4,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Sering,4,4
29/05/2025 14:31:21,UMS,Manajemen,3-4,"3,50 - 4,00",4 - 5 jam,Setelah pukul 02:00,Jarang,3-4 kali per minggu,Tidak,Selalu,5,5
29/05/2025 14:46:43,ITS,Teknik Mesin,3-4,"3,50 - 4,00",<4 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Ya,Kadang-kadang,4,4
29/05/2025 21:17:28,UNNES,PGSD,1-2,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,5,4
29/05/2025 21:20:38,UNNES,PGSD,1-2,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak yakin,Kadang-kadang,3,3
29/05/2025 21:31:05,UNNES,PGSD,3-4,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,Tidak pernah,Tidak,Tidak pernah,3,5
29/05/2025 21:34:16,UNNES,PGSD,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak yakin,Kadang-kadang,4,2
29/05/2025 21:39:58,UNNES,PGSD,1-2,"3,50 - 4,00",≥ 8 jam,Sebelum pukul 22:00,Sering,Tidak pernah,Tidak,Tidak pernah,5,4
29/05/2025 22:02:32,Undip,Psikologi,7-8,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak,Sering,4,5
29/05/2025 22:13:17,UNDIP,Ilmu pemerintahan,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Selalu,1-2 kali per minggu,Tidak,Jarang,4,5
29/05/2025 22:14:57,UNDIP,Ilmu pemerintahan,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak yakin,Kadang-kadang,3,3
29/05/2025 22:24:24,UNDIP,Ilmu pemerintahan,1-2,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak yakin,Kadang-kadang,4,3
29/05/2025 22:25:44,UNDIP,Ilmu pemerintahan,1-2,"3,50 - 4,00",≥ 8 jam,Sebelum pukul 22:00,Sering,Tidak pernah,Tidak,Tidak pernah,5,4
29/05/2025 22:26:56,UNDIP,Ilmu pemerintahan,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Jarang,3,4
29/05/2025 22:28:20,UNNES,PJSD,1-2,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,3,4
29/05/2025 22:29:26,UNNES,PJSD,3-4,"3,50 - 4,00",≥ 8 jam,Sebelum pukul 22:00,Sering,Tidak pernah,Tidak,Jarang,4,5
29/05/2025 22:31:38,UNNES,PJSD,1-2,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak yakin,Kadang-kadang,3,4
29/05/2025 22:33:15,UNNES,PJSD,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,3,4
29/05/2025 22:34:14,UNNES,PJSD,3-4,"3,50 - 4,00",≥ 8 jam,Sebelum pukul 22:00,Selalu,Tidak pernah,Tidak,Tidak pernah,5,5
29/05/2025 22:35:12,UNDIP,PSIKOLOGI,1-2,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,3-4 kali per minggu,Tidak yakin,Jarang,4,4
29/05/2025 22:37:17,UNDIP,Psikologi,3-4,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Kadang-kadang,3,4
29/05/2025 22:39:02,UNDIP,Psikologi,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,1-2 kali per minggu,Tidak yakin,Jarang,4,5
29/05/2025 22:40:08,UNDIP,psikologi,1-2,"3,50 - 4,00",≥ 8 jam,Sebelum pukul 22:00,Sering,1-2 kali per minggu,Tidak,Jarang,4,5
29/05/2025 22:40:45,UNDIP,Psikologi,1-2,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Jarang,1-2 kali per minggu,Tidak,Jarang,4,5
30/05/2025 7:20:37,Unika,Teknik Informatika,5-6,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Sering,3-4 kali per minggu,Tidak,Sering,4,4
30/05/2025 14:35:39,Unissula,Kedokteran,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Sering,Tidak pernah,Tidak,Jarang,5,5
30/05/2025 14:54:53,UNNES,KESMAS,1-2,"3,00 - 3,49",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak yakin,Kadang-kadang,4,4
30/05/2025 14:56:07,UNNES ,MANAJEMEN,1-2,"2,50 - 2,99",4 - 5 jam,Setelah pukul 02:00,Jarang,Hampir setiap hari,Ya,Sering,3,3
30/05/2025 14:58:04,UNDIP,KEDOKTERAN ,5-6,"3,50 - 4,00",6 - 7 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,Hampir setiap hari,Tidak,Jarang,5,3
30/05/2025 14:58:11,UNNES,KESMAS,3-4,"3,50 - 4,00",≥ 8 jam,Sebelum pukul 22:00,Sering,1-2 kali per minggu,Tidak,Sering,4,5
30/05/2025 14:58:44,UNHAN,Strategi Pertahanan,3-4,"3,50 - 4,00",6 - 7 jam,Sebelum pukul 22:00,Selalu,1-2 kali per minggu,Tidak,Tidak pernah,5,5
30/05/2025 14:59:42,UNAIR,ILKOM,3-4,"3,00 - 3,49",6 - 7 jam,Dari pukul 00:00 - 01:59,Jarang,Hampir setiap hari,Tidak yakin,Kadang-kadang,4,3
30/05/2025 15:00:59,UGM,HUKUM,1-2,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,3-4 kali per minggu,Tidak,Kadang-kadang,5,4
30/05/2025 15:02:19,UNNES,PJKR,5-6,"3,50 - 4,00",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,3-4 kali per minggu,Tidak,Sering,5,2
30/05/2025 15:02:20,UNNES,KESMAS,1-2,"3,50 - 4,00",6 - 7 jam,Pukul 22.00 - 23.59,Kadang-kadang,1-2 kali per minggu,Tidak,Jarang,4,5
30/05/2025 15:03:25,UNESA,TATA BUSANA,3-4,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Jarang,1-2 kali per minggu,Tidak yakin,Jarang,5,3
30/05/2025 15:03:28,UNNES,KESMAS,3-4,"3,50 - 4,00",≥ 8 jam,Pukul 22.00 - 23.59,Sering,1-2 kali per minggu,Tidak,Jarang,4,5
30/05/2025 15:04:06,POLTEKIM,MANAJEMEN TEKNOLOGI KEIMIGRASIAN,3-4,"3,50 - 4,00",≥ 8 jam,Sebelum pukul 22:00,Selalu,Tidak pernah,Tidak,Tidak pernah,5,5
30/05/2025 15:04:23,UI,MATEMATIKA ,3-4,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Kadang-kadang,Hampir setiap hari,Ya,Kadang-kadang,4,3
30/05/2025 15:04:27,UNNES,KESMAS,1-2,"3,00 - 3,49",4 - 5 jam,Dari pukul 00:00 - 01:59,Jarang,1-2 kali per minggu,Tidak yakin,Sering,4,3
